Date:;2020-07-08 21:54:05
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;40.000
Scale:;0;True;100.000;0.500;-400.500;399.500
Scale:;1;True;20.000;-2.650;-77.350;82.650
"Trigger:;0;0.000000;""Parameter values"";""Channel 1"";""Rising above value"""
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;0;0.0
40.000;0;0.0
80.000;0;0.0
120.000;0;0.0
160.000;0;0.0
200.000;0;0.0
240.000;0;0.0
280.000;0;0.0
320.000;0;0.0
360.000;0;0.0
400.000;0;0.0
440.000;0;0.0
480.000;0;0.0
520.000;0;0.0
560.000;0;0.0
600.000;0;0.0
640.000;0;0.0
680.000;0;0.0
720.000;0;0.0
760.000;0;0.0
800.000;0;0.0
840.000;0;0.0
880.000;0;0.0
920.000;0;0.0
960.000;0;0.0
1000.000;0;0.0
1040.000;0;0.0
1080.000;0;0.0
1120.000;0;0.0
1160.000;0;0.0
1200.000;0;0.0
1240.000;0;0.0
1280.000;0;0.0
1320.000;0;0.0
1360.000;0;0.0
1400.000;0;0.0
1440.000;0;0.0
1480.000;0;0.0
1520.000;0;0.0
1560.000;0;0.0
1600.000;0;0.0
1640.000;0;0.0
1680.000;0;0.0
1720.000;0;0.0
1760.000;0;0.0
1800.000;0;0.0
1840.000;0;0.0
1880.000;0;0.0
1920.000;0;0.0
1960.000;0;0.0
2000.000;0;0.0
2040.000;0;0.0
2080.000;0;0.0
2120.000;0;0.0
2160.000;0;0.0
2200.000;0;0.0
2240.000;0;0.0
2280.000;0;0.0
2320.000;0;0.0
2360.000;0;0.0
2400.000;0;0.0
2440.000;0;0.0
2480.000;0;0.0
2520.000;0;0.0
2560.000;0;0.0
2600.000;0;0.0
2640.000;0;0.0
2680.000;0;0.0
2720.000;0;0.0
2760.000;0;0.0
2800.000;0;0.0
2840.000;0;0.0
2880.000;0;0.0
2920.000;0;0.0
2960.000;0;0.0
3000.000;0;0.0
3040.000;0;0.0
3080.000;0;0.0
3120.000;0;0.0
3160.000;0;0.0
3200.000;0;0.0
3240.000;0;0.0
3280.000;0;0.0
3320.000;0;0.0
3360.000;0;0.0
3400.000;0;0.0
3440.000;0;0.0
3480.000;0;0.0
3520.000;0;0.0
3560.000;0;0.0
3600.000;0;0.0
3640.000;0;0.0
3680.000;0;0.0
3720.000;0;0.0
3760.000;0;0.0
3800.000;0;0.0
3840.000;0;0.0
3880.000;0;0.0
3920.000;0;0.0
3960.000;0;0.0
4000.000;0;0.0
4040.000;0;0.0
4080.000;0;0.0
4120.000;0;0.0
4160.000;0;0.0
4200.000;0;0.0
4240.000;0;0.0
4280.000;0;0.0
4320.000;0;0.0
4360.000;0;0.0
4400.000;0;0.0
4440.000;0;0.0
4480.000;0;0.0
4520.000;0;0
4560.000;0;0
4600.000;0;0
4640.000;0;0
4680.000;0;0
4720.000;0;0
4760.000;0;0
4800.000;0;-26.6
4840.000;-93;-29.7
4880.000;-172;-26.9
4920.000;-192;-31
4960.000;-192;-39.6
5000.000;-206;-25.5
5040.000;-199;-34.5
5080.000;-198;-38.0
5120.000;-201;-31.6
5160.000;-201;-29.0
5200.000;-199;-30.8
5240.000;-197;-37.0
5280.000;-199;-35.3
5320.000;-200;-35.1
5360.000;-201;-33.3
5400.000;-201;-34.1
5440.000;-203;-28.2
5480.000;-199;-32.4
5520.000;-197;-38.1
5560.000;-205;-26.2
5600.000;-200;-31.1
5640.000;-199;-32.4
5680.000;-198;-36.9
5720.000;-202;-30.2
5760.000;-202;-31.2
5800.000;-198;-37.1
5840.000;-202;-34.6
5880.000;-204;-28.3
5920.000;-200;-31.6
5960.000;-199;-33.2
6000.000;-198;-35.5
6040.000;-202;-30.8
6080.000;-200;-33.7
6120.000;-198;-37.8
6160.000;-204;-30.0
6200.000;-200;-32.2
6240.000;-201;-30.5
6280.000;-197;-36.4
6320.000;-200;-33.7
6360.000;-199;-36.8
6400.000;-200;-35.6
6440.000;-199;-37.2
6480.000;-203;-28.4
6520.000;-201;-30.5
6560.000;-198;-35.1
6600.000;-198;-37.5
6640.000;-204;-28.9
6680.000;-199;-33.8
6720.000;-201;-31.0
6760.000;-200;-32.4
6800.000;-202;-28.8
6840.000;-200;-30.3
6880.000;-197;-38.3
6920.000;-201;-35.1
6960.000;-202;-31.1
7000.000;-199;-33.5
7040.000;-198;-35.8
7080.000;-201;-29.9
7120.000;-199;-33.8
7160.000;-194;-44.6
7200.000;-201;-32.5
7240.000;-203;-26.8
7280.000;-199;-31.2
7320.000;-199;-33.5
7360.000;-200;-33.1
7400.000;-203;-30.2
7440.000;-202;-30.3
7480.000;-198;-32.6
7520.000;-202;-28.1
7560.000;-199;-32.4
7600.000;-198;-33.6
7640.000;-198;-36.5
7680.000;-201;-30.6
7720.000;-201;-29.0
7760.000;-193;-45.2
7800.000;-200;-35.9
7840.000;-204;-28.9
7880.000;-198;-34.8
7920.000;-200;-31.7
7960.000;-201;-29.3
8000.000;-200;-30.9
8040.000;-199;-31.0
8080.000;-196;-39.5
8120.000;-202;-32.5
8160.000;-201;-33.5
8200.000;-198;-39.2
8240.000;-201;-36.6
8280.000;-205;-26.9
8320.000;-201;-27.3
8360.000;-196;-38.7
8400.000;-199;-36.1
8440.000;-203;-29.5
8480.000;-200;-30.6
8520.000;-200;-30.7
8560.000;-202;-25.9
8600.000;-200;-27.3
8640.000;-195;-39.2
8680.000;-196;-41.1
8720.000;-205;-29.1
8760.000;-201;-31.6
8800.000;-199;-33.4
8840.000;-201;-29.7
8880.000;-202;-29.7
8920.000;-198;-29.2
8960.000;-197;-34.5
9000.000;-202;-29.3
9040.000;-201;-28.3
9080.000;-201;-28.0
9120.000;-200;-33.4
9160.000;-200;-33.7
9200.000;-200;-27.3
9240.000;-197;-33.5
9280.000;-199;-33.6
9320.000;-202;-28.6
9360.000;-201;-28.5
9400.000;-200;-28.3
9440.000;-201;-36.4
9480.000;-200;-33.8
9520.000;-199;-28.6
9560.000;-92;-33.9
9600.000;-27;-27.3
9640.000;-8;-13.7
9680.000;-2;-19.0
9720.000;-1;-10.6
9760.000;0;0
9800.000;0;0
9840.000;0;0
9880.000;0;0
9920.000;0;0
9960.000;0;0
10000.000;0;0
10040.000;0;0
10080.000;0;0
10120.000;0;0
10160.000;0;0
10200.000;0;0
10240.000;0;0
10280.000;0;0
10320.000;0;0
10360.000;0;0
10400.000;0;0
10440.000;0;0
10480.000;0;0
10520.000;5;45.8
10560.000;133;43.9
10600.000;185;41.0
10640.000;198;40.0
10680.000;203;34.2
10720.000;201;40.0
10760.000;205;34.1
10800.000;202;36.8
10840.000;201;39.6
10880.000;204;33.8
10920.000;200;38.5
10960.000;200;38.6
11000.000;198;43.3
11040.000;202;38.0
11080.000;202;36.7
11120.000;199;40.4
11160.000;202;36.9
11200.000;201;35.8
11240.000;200;36.4
11280.000;197;42.8
11320.000;199;42.0
11360.000;203;37.6
11400.000;200;39.1
11440.000;198;43.7
11480.000;202;37.1
11520.000;202;33.5
11560.000;200;36.6
11600.000;195;36.6
11640.000;201;42.2
11680.000;201;41.4
11720.000;201;40.3
11760.000;199;40.5
11800.000;202;38.7
11840.000;201;36.5
11880.000;197;40.4
11920.000;196;40.1
11960.000;202;42.1
12000.000;204;34.9
12040.000;197;43.5
12080.000;203;30.5
12120.000;198;42.5
12160.000;200;40.4
12200.000;199;40.0
12240.000;201;41.7
12280.000;202;39.3
12320.000;198;40.4
12360.000;199;40.1
12400.000;203;38.1
12440.000;203;32.8
12480.000;196;43.3
12520.000;195;43.2
12560.000;203;39.6
12600.000;200;42.2
12640.000;201;40.2
12680.000;201;40.0
12720.000;203;36.1
12760.000;201;35.2
12800.000;196;43.6
12840.000;201;38.3
12880.000;199;41.4
12920.000;199;43.5
12960.000;198;47.0
13000.000;204;35.6
13040.000;202;36.6
13080.000;199;35.3
13120.000;194;46.7
13160.000;201;39.9
13200.000;199;43.7
13240.000;201;40.1
13280.000;201;41.2
13320.000;204;36.4
13360.000;201;36.6
13400.000;198;36.9
13440.000;200;35.3
13480.000;199;38.7
13520.000;198;45.2
13560.000;200;44.1
13600.000;201;41.7
13640.000;203;35.9
13680.000;200;36.3
13720.000;195;46.0
13760.000;201;38.6
13800.000;197;45.6
13840.000;200;43.3
13880.000;204;37.7
13920.000;201;38.0
13960.000;200;37.7
14000.000;199;38.8
14040.000;200;38.1
14080.000;199;41.6
14120.000;198;45.0
14160.000;199;50.4
14200.000;203;42.3
14240.000;201;40.3
14280.000;202;34.4
14320.000;196;43.4
14360.000;201;37.4
14400.000;197;45.9
14440.000;201;40.0
14480.000;200;42.9
14520.000;202;38.9
14560.000;202;35.9
14600.000;200;36.4
14640.000;198;39.1
14680.000;199;40.7
14720.000;199;43.4
14760.000;198;47.2
14800.000;201;40.9
14840.000;201;40.5
14880.000;202;33.9
14920.000;198;39.4
14960.000;200;38.3
15000.000;197;46.6
