Date:;2020-07-08 22:13:00
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;40.000
Scale:;0;True;20.000;-1.000;-79.000;81.000
Scale:;1;True;20.000;-1.450;-78.550;81.450
"Trigger:;0;0.000000;""Parameter values"";""Channel 1"";""Rising above value"""
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;0;0.0
40.000;0;0.0
80.000;0;0.0
120.000;0;0.0
160.000;0;0.0
200.000;0;0.0
240.000;0;0.0
280.000;0;0.0
320.000;0;0.0
360.000;0;0.0
400.000;0;0.0
440.000;0;0.0
480.000;0;0.0
520.000;0;0.0
560.000;0;0.0
600.000;0;0.0
640.000;0;0.0
680.000;0;0.0
720.000;0;0.0
760.000;0;0.0
800.000;0;0.0
840.000;0;0.0
880.000;0;0.0
920.000;0;0.0
960.000;0;0.0
1000.000;0;0.0
1040.000;0;0.0
1080.000;0;0.0
1120.000;0;0.0
1160.000;0;0.0
1200.000;0;0.0
1240.000;0;0.0
1280.000;0;0.0
1320.000;0;0.0
1360.000;0;0.0
1400.000;0;0.0
1440.000;0;0.0
1480.000;0;0.0
1520.000;0;0.0
1560.000;0;0.0
1600.000;0;0.0
1640.000;0;0.0
1680.000;0;0.0
1720.000;0;0.0
1760.000;0;0.0
1800.000;0;0.0
1840.000;0;0.0
1880.000;0;0.0
1920.000;0;0.0
1960.000;0;0.0
2000.000;0;0.0
2040.000;0;0.0
2080.000;0;0.0
2120.000;0;0.0
2160.000;0;0.0
2200.000;0;0.0
2240.000;0;0.0
2280.000;0;0.0
2320.000;0;0.0
2360.000;0;0.0
2400.000;0;0.0
2440.000;0;0.0
2480.000;0;0.0
2520.000;0;0.0
2560.000;0;0.0
2600.000;0;0.0
2640.000;0;0.0
2680.000;0;0.0
2720.000;0;0.0
2760.000;0;0.0
2800.000;0;0.0
2840.000;0;0.0
2880.000;0;0.0
2920.000;0;0.0
2960.000;0;0.0
3000.000;0;0.0
3040.000;0;0.0
3080.000;0;0.0
3120.000;0;0.0
3160.000;0;0.0
3200.000;0;0.0
3240.000;0;0.0
3280.000;0;0.0
3320.000;0;0.0
3360.000;0;0.0
3400.000;0;0.0
3440.000;0;0.0
3480.000;0;0.0
3520.000;0;0.0
3560.000;0;0.0
3600.000;0;0.0
3640.000;0;0.0
3680.000;0;0.0
3720.000;0;0.0
3760.000;0;0.0
3800.000;0;0.0
3840.000;0;0.1
3880.000;0;0.0
3920.000;0;0.0
3960.000;0;0.0
4000.000;0;0.0
4040.000;0;0.0
4080.000;0;0.0
4120.000;0;0.0
4160.000;0;0.0
4200.000;0;0.0
4240.000;0;0.0
4280.000;0;0.0
4320.000;0;0.0
4360.000;0;0.0
4400.000;0;0.0
4440.000;0;0.0
4480.000;0;0.0
4520.000;0;0.0
4560.000;0;0.0
4600.000;0;0.0
4640.000;0;0.0
4680.000;0;0.0
4720.000;0;0.0
4760.000;0;0.0
4800.000;0;0.0
4840.000;0;0.0
4880.000;0;-29.1
4920.000;-17;-24.9
4960.000;-44;-26.3
5000.000;-49;-25.4
5040.000;-50;-27.4
5080.000;-52;-25.2
5120.000;-52;-25
5160.000;-51;-23.4
5200.000;-51;-23.5
5240.000;-51;-27
5280.000;-51;-25.5
5320.000;-50;-23.2
5360.000;-50;-23.3
5400.000;-49;-24.7
5440.000;-50;-29.1
5480.000;-53;-23.8
5520.000;-51;-24.7
5560.000;-50;-25.1
5600.000;-50;-23.4
5640.000;-51;-21.4
5680.000;-49;-25.7
5720.000;-46;-29.4
5760.000;-48;-27.7
5800.000;-49;-26.9
5840.000;-51;-26.9
5880.000;-50;-28.4
5920.000;-50;-24.2
5960.000;-50;-28.0
6000.000;-49;-25.5
6040.000;-52;-28.9
6080.000;-54;-29.3
6120.000;-53;-26.8
6160.000;-52;-26.0
6200.000;-53;-23.7
6240.000;-50;-24.2
6280.000;-46;-25.2
6320.000;-47;-26.2
6360.000;-50;-25.5
6400.000;-48;-29.0
6440.000;-52;-23.1
6480.000;-50;-25.4
6520.000;-48;-28.8
6560.000;-51;-23.5
6600.000;-49;-26.3
6640.000;-48;-29.9
6680.000;-50;-27.6
6720.000;-51;-25.5
6760.000;-51;-23.8
6800.000;-50;-27.7
6840.000;-50;-25.8
6880.000;-49;-27.4
6920.000;-50;-25.9
6960.000;-50;-27.5
7000.000;-50;-25.3
7040.000;-50;-26.2
7080.000;-51;-23.1
7120.000;-50;-23.2
7160.000;-51;-26.4
7200.000;-52;-22.3
7240.000;-48;-26.8
7280.000;-49;-26.9
7320.000;-51;-24.3
7360.000;-50;-25.3
7400.000;-51;-22.9
7440.000;-51;-23.4
7480.000;-49;-23.9
7520.000;-49;-26.4
7560.000;-51;-22.1
7600.000;-47;-30.1
7640.000;-51;-24.5
7680.000;-50;-27.9
7720.000;-52;-24.1
7760.000;-50;-24.8
7800.000;-50;-25.2
7840.000;-50;-26.8
7880.000;-49;-28.8
7920.000;-51;-26.6
7960.000;-51;-25.1
8000.000;-51;-23.9
8040.000;-50;-24.1
8080.000;-50;-23.6
8120.000;-49;-25.5
8160.000;-49;-26.2
8200.000;-50;-25.9
8240.000;-50;-25.2
8280.000;-50;-24.8
8320.000;-50;-25.5
8360.000;-50;-24.7
8400.000;-49;-26.7
8440.000;-51;-24.2
8480.000;-51;-23.0
8520.000;-51;-26.7
8560.000;-52;-28.9
8600.000;-49;-23.3
8640.000;-50;-24.1
8680.000;-50;-24.0
8720.000;-50;-24.6
8760.000;-49;-25.7
8800.000;-51;-22.6
8840.000;-48;-27.1
8880.000;-51;-23.8
8920.000;-48;-27.6
8960.000;-52;-25.3
9000.000;-48;-27.8
9040.000;-50;-27.7
9080.000;-51;-28.5
9120.000;-51;-22.7
9160.000;-50;-27.3
9200.000;-52;-23.8
9240.000;-50;-25.6
9280.000;-48;-29.1
9320.000;-48;-28.1
9360.000;-48;-27.1
9400.000;-50;-26.8
9440.000;-50;-28.4
9480.000;-50;-25.4
9520.000;-51;-25.8
9560.000;-51;-24.3
9600.000;-50;-27.5
9640.000;-18;-26.0
9680.000;-5;-26.8
9720.000;-1;-26.7
9760.000;0;0
9800.000;0;0
9840.000;0;0
9880.000;0;0
9920.000;0;0
9960.000;0;0
10000.000;0;0
10040.000;0;0
10080.000;0;0
10120.000;0;0
10160.000;0;0
10200.000;0;0
10240.000;0;0
10280.000;0;0
10320.000;0;0
10360.000;0;0
10400.000;0;0
10440.000;0;0
10480.000;0;32.1
10520.000;10;34.5
10560.000;42;32.9
10600.000;52;33
10640.000;52;32.9
10680.000;50;34.8
10720.000;50;34.2
10760.000;52;31.3
10800.000;51;30.5
10840.000;49;31.5
10880.000;48;34.7
10920.000;48;38.3
10960.000;51;35.4
11000.000;51;34.0
11040.000;51;31.7
11080.000;49;35.5
11120.000;51;31.8
11160.000;51;31.4
11200.000;50;30.2
11240.000;50;30.1
11280.000;49;33.0
11320.000;52;28.8
11360.000;50;30.1
11400.000;51;32.9
11440.000;51;31.9
11480.000;49;29.5
11520.000;48;31.6
11560.000;47;35.5
11600.000;49;34.8
11640.000;51;34.2
11680.000;50;33.8
11720.000;51;32.1
11760.000;51;32.0
11800.000;51;30.3
11840.000;50;30.7
11880.000;49;32.3
11920.000;48;36.4
11960.000;52;32.4
12000.000;51;31.7
12040.000;49;34.0
12080.000;49;35.5
12120.000;50;34.0
12160.000;49;36.9
12200.000;51;33.7
12240.000;52;30.8
12280.000;50;31.4
12320.000;49;34.0
12360.000;50;32.5
12400.000;51;31.1
12440.000;52;29.3
12480.000;48;33.1
12520.000;50;30.7
12560.000;51;28.3
12600.000;50;31.2
12640.000;49;33.6
12680.000;49;30.3
12720.000;49;33.0
12760.000;48;36.1
12800.000;51;34.3
12840.000;52;32.2
12880.000;50;33.4
12920.000;50;32.2
12960.000;50;31.8
13000.000;50;32.3
13040.000;49;33.8
13080.000;49;34.8
13120.000;50;35.6
13160.000;51;33.9
13200.000;52;29.3
13240.000;50;31.1
13280.000;49;32.5
13320.000;49;33.6
13360.000;48;37.6
13400.000;51;35.5
13440.000;52;33.5
13480.000;51;33.5
13520.000;49;35.6
13560.000;49;31.2
13600.000;48;34.1
13640.000;49;33.0
13680.000;48;35.4
13720.000;51;33.8
13760.000;53;32.2
13800.000;52;31.3
13840.000;52;35.5
13880.000;50;30.4
13920.000;49;30.9
13960.000;51;35.3
14000.000;52;35.4
14040.000;51;33.1
14080.000;50;33.4
14120.000;51;30.3
14160.000;49;30.8
14200.000;49;31.7
14240.000;49;33.0
14280.000;50;30.7
14320.000;49;33.0
14360.000;48;36.6
14400.000;53;29.5
14440.000;50;33.2
14480.000;50;32.4
14520.000;49;33.9
14560.000;51;30.7
14600.000;49;34.1
14640.000;51;32.9
14680.000;50;33.5
14720.000;50;32.8
14760.000;50;32.9
14800.000;49;32.6
14840.000;51;31.1
14880.000;47;36.5
14920.000;51;32.7
14960.000;51;30.4
