Date:;2020-07-08 21:12:27
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;6.400
Scale:;0;True;2.000;119.000;-127.000;-111.000
Scale:;1;True;5.000;29.800;-49.800;-9.800
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-122;-23.8
6.400;-122;-25.2
12.800;-121;-26.7
19.200;-120;-27.6
25.600;-119;-28.9
32.000;-119;-29.0
38.400;-120;-27.7
44.800;-120;-27.0
51.200;-120;-26.9
57.600;-121;-26.5
64.000;-120;-25.9
70.400;-121;-25.6
76.800;-121;-25.5
83.200;-121;-25.2
89.600;-121;-24.4
96.000;-122;-23.1
102.400;-122;-22.1
108.800;-121;-23.8
115.200;-121;-25.1
121.600;-120;-25.9
128.000;-119;-25.9
134.400;-119;-25.7
140.800;-119;-26.8
147.200;-119;-27.1
153.600;-119;-26.8
160.000;-118;-27.6
166.400;-119;-27.8
172.800;-119;-27.3
179.200;-119;-26.3
185.600;-119;-27.1
192.000;-119;-28.1
198.400;-119;-28.3
204.800;-119;-28.1
211.200;-119;-27.8
217.600;-120;-28.0
224.000;-120;-27.0
230.400;-120;-26.3
236.800;-121;-26.2
243.200;-120;-26.5
249.600;-120;-27.9
256.000;-118;-30.5
262.400;-118;-32.3
268.800;-117;-33.5
275.200;-117;-33.7
281.600;-118;-32.1
288.000;-118;-31.6
294.400;-120;-30.3
300.800;-120;-29.2
307.200;-121;-28.4
313.600;-122;-27.5
320.000;-122;-26.6
326.400;-122;-26.9
332.800;-122;-27.6
339.200;-122;-26.4
345.600;-122;-25.9
352.000;-122;-25.8
358.400;-121;-26.0
364.800;-121;-26.4
371.200;-121;-26.8
377.600;-119;-29.0
384.000;-119;-30.5
390.400;-119;-30.2
396.800;-119;-27.6
403.200;-120;-27.0
409.600;-120;-27.6
416.000;-119;-29.8
422.400;-118;-32.0
428.800;-119;-31.3
435.200;-120;-28.7
441.600;-120;-27.1
448.000;-119;-30.6
454.400;-118;-32.7
