Date:;2020-07-08 21:30:14
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;128.000
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;1;38.4
128.000;1;45.2
256.000;1;34.3
384.000;1;38.8
512.000;1;47.7
640.000;3;35.3
768.000;1;39.0
896.000;1;44.5
1024.000;2;33.5
1152.000;0;37.0
1280.000;1;44.5
1408.000;9;34.2
1536.000;1;38.1
1664.000;1;42.4
1792.000;2;32.6
1920.000;0;37.0
2048.000;1;43.9
2176.000;13;27.5
2304.000;0;37.6
2432.000;1;41.8
2560.000;4;30.8
2688.000;1;34.8
2816.000;1;41.2
2944.000;3;45.6
3072.000;1;33.3
3200.000;1;37.3
3328.000;2;43.0
3456.000;1;31.7
3584.000;1;36.0
3712.000;1;43.8
3840.000;2;31.5
3968.000;1;34.7
4096.000;1;43.1
4224.000;4;31.1
4352.000;0;35.0
4480.000;1;40.1
4608.000;8;31.8
4736.000;1;36.7
4864.000;1;44.0
4992.000;10;35.5
5120.000;1;36.8
5248.000;1;39.6
5376.000;10;25.2
5504.000;1;34.0
5632.000;1;39.6
5760.000;1;48.3
5888.000;2;33.5
6016.000;1;36.6
6144.000;1;43.1
6272.000;2;32.1
6400.000;1;36.4
6528.000;1;44.2
6656.000;7;33.4
6784.000;1;36.3
6912.000;1;41.4
7040.000;5;31.4
7168.000;1;35.2
7296.000;1;41.5
7424.000;5;32.0
7552.000;1;36.2
7680.000;1;42.4
7808.000;12;26.0
7936.000;1;36.0
8064.000;1;42.3
8192.000;1;50.0
8320.000;1;34.8
8448.000;1;39.0
8576.000;2;43.4
8704.000;1;33.7
8832.000;1;39.2
8960.000;1;46.8
9088.000;1;34.9
9216.000;1;38.3
9344.000;1;45.4
