Date:;2020-07-08 21:20:34
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;38.400
Scale:;0;True;1.000;-30.000;26.000;34.000
Scale:;1;True;5.000;-33.250;13.250;53.250
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;30;33.4
38.400;29;34.0
76.800;28;38.0
115.200;30;37.4
153.600;30;38.2
192.000;30;39.7
230.400;30;39.0
268.800;31;37.7
307.200;31;36.6
345.600;30;36.2
384.000;30;35.1
422.400;30;35.2
460.800;30;34.2
499.200;30;34.4
537.600;30;33.9
576.000;30;33.0
614.400;30;33.1
652.800;30;32.6
691.200;30;32.0
729.600;30;31.5
768.000;30;32.1
806.400;30;31.4
844.800;29;32.6
883.200;30;32.5
921.600;31;30.3
960.000;29;31.7
998.400;31;29.2
1036.800;28;32.6
1075.200;29;34.0
1113.600;30;34.5
1152.000;30;35.2
1190.400;30;36.6
1228.800;30;36.1
1267.200;29;38.2
1305.600;30;38.2
1344.000;30;37.3
1382.400;30;37.9
1420.800;30;38.3
1459.200;31;38.2
1497.600;30;37.7
1536.000;31;37.6
1574.400;31;36.7
1612.800;30;35.4
1651.200;30;36.3
1689.600;30;37.2
1728.000;30;35.9
1766.400;29;37.8
1804.800;31;35.2
1843.200;30;36.8
1881.600;30;36.6
1920.000;30;36.2
1958.400;30;35.4
1996.800;30;35.2
2035.200;30;36.5
2073.600;31;34.2
2112.000;30;33.7
2150.400;30;34.1
2188.800;29;35.8
2227.200;29;37.0
2265.600;29;37.2
2304.000;29;38.0
2342.400;29;40.3
2380.800;32;36.7
2419.200;32;34.5
2457.600;31;33.9
2496.000;30;34.0
2534.400;30;33.9
2572.800;31;32.1
2611.200;31;31.2
2649.600;30;31.3
2688.000;30;30.8
2726.400;29;32.4
2764.800;29;33.3
2803.200;31;30.0
2841.600;30;31.1
2880.000;30;30.0
2918.400;30;29.1
2956.800;29;31.2
2995.200;31;29.2
3033.600;29;31.4
3072.000;29;32.5
3110.400;29;34.5
3148.800;30;34.5
3187.200;30;35.1
3225.600;30;35.7
3264.000;30;37.2
3302.400;30;37.0
3340.800;31;35.6
3379.200;31;35.5
3417.600;31;35.5
3456.000;30;35.7
3494.400;31;34.5
3532.800;31;33.4
3571.200;31;32.3
3609.600;30;31.5
3648.000;30;32.4
3686.400;29;33.3
3724.800;30;32.9
3763.200;29;34.0
3801.600;30;34.1
3840.000;30;34.8
3878.400;30;33.8
3916.800;30;34.5
3955.200;30;34.0
3993.600;30;34.8
4032.000;29;36.6
4070.400;30;36.1
4108.800;31;34.9
4147.200;30;34.4
4185.600;30;34.8
4224.000;29;36.6
4262.400;29;38.3
4300.800;31;36.9
4339.200;30;36.1
4377.600;30;36.2
4416.000;31;35.4
4454.400;31;33.2
4492.800;30;34.5
4531.200;30;32.9
4569.600;30;33.8
4608.000;32;30.3
4646.400;30;30.8
4684.800;30;29.5
4723.200;30;29.6
4761.600;29;29.4
4800.000;29;29.3
4838.400;29;32.8
4876.800;30;32.6
4915.200;30;33.3
4953.600;30;33.1
4992.000;30;32.9
5030.400;30;34.2
5068.800;30;34.3
5107.200;30;34.4
5145.600;29;36.9
5184.000;30;36.5
5222.400;31;35.0
5260.800;30;38.0
5299.200;30;36.6
5337.600;30;37.5
5376.000;31;36.1
5414.400;30;36.2
5452.800;30;36.2
5491.200;30;35.3
5529.600;31;32.9
5568.000;30;32.8
5606.400;30;33.0
5644.800;30;33.2
5683.200;30;33.5
5721.600;30;33.0
5760.000;30;32.2
5798.400;30;32.9
5836.800;30;33.7
5875.200;29;34.7
5913.600;30;33.8
5952.000;30;34.1
5990.400;30;33.8
6028.800;29;36.0
6067.200;30;37.0
6105.600;31;35.7
6144.000;30;36.9
6182.400;32;34.0
6220.800;31;32.5
6259.200;30;33.9
6297.600;29;34.5
6336.000;30;33.3
6374.400;30;33.9
6412.800;29;36.0
6451.200;30;35.9
6489.600;30;36.2
6528.000;31;35.2
6566.400;31;34.5
6604.800;31;32.4
6643.200;31;30.6
6681.600;31;29.1
6720.000;30;29.7
6758.400;30;29.6
6796.800;31;26.6
6835.200;29;31.0
6873.600;29;31.0
6912.000;30;31.0
6950.400;31;28.6
6988.800;30;30.0
7027.200;30;28.5
7065.600;30;29.0
7104.000;30;30.1
7142.400;28;33.9
7180.800;30;32.1
7219.200;30;32.7
7257.600;28;37.8
7296.000;30;36.5
7334.400;29;40.7
7372.800;30;40.1
7411.200;32;36.5
7449.600;32;35.2
7488.000;30;35.5
7526.400;31;33.8
7564.800;30;33.5
7603.200;30;32.5
7641.600;29;33.3
7680.000;29;35.1
7718.400;30;33.9
7756.800;31;33.9
7795.200;30;33.6
7833.600;30;33.1
7872.000;29;34.5
7910.400;30;33.8
7948.800;30;33.5
7987.200;30;34.6
8025.600;29;36.2
8064.000;29;37.3
8102.400;30;36.6
8140.800;31;35.9
8179.200;30;36.4
8217.600;30;36.7
8256.000;32;33.7
8294.400;30;33.9
8332.800;30;34.6
8371.200;29;36.6
8409.600;30;35.2
8448.000;30;35.9
8486.400;31;34.1
8524.800;31;32.5
8563.200;31;31.0
8601.600;29;32.7
8640.000;30;32.6
8678.400;30;31.8
8716.800;30;32.0
8755.200;31;29.6
8793.600;31;28.1
8832.000;30;27.7
8870.400;29;29.0
8908.800;30;27.9
8947.200;28;31.0
8985.600;30;30.3
9024.000;30;29.9
9062.400;30;30.0
9100.800;29;31.0
9139.200;29;33.6
9177.600;30;33.0
9216.000;31;33.0
9254.400;29;36.6
9292.800;30;36.4
9331.200;31;35.1
9369.600;31;33.8
9408.000;30;35.2
9446.400;30;35.6
9484.800;29;38.2
9523.200;32;34.8
9561.600;32;32.6
9600.000;31;31.7
9638.400;30;32.9
9676.800;30;31.3
9715.200;29;32.9
9753.600;30;32.1
9792.000;30;33.0
9830.400;30;33.8
9868.800;29;35.3
9907.200;30;34.7
9945.600;31;32.8
9984.000;30;34.1
10022.400;29;35.5
10060.800;30;35.0
10099.200;31;33.0
10137.600;30;33.0
10176.000;30;33.8
10214.400;30;33.7
10252.800;30;35.1
10291.200;29;37.6
10329.600;31;34.6
10368.000;32;32.7
10406.400;31;31.1
10444.800;31;29.1
10483.200;30;30.7
10521.600;29;31.4
10560.000;29;30.8
10598.400;30;30.3
10636.800;29;31.2
10675.200;30;30.2
10713.600;30;31.7
10752.000;30;32.2
10790.400;30;32.8
10828.800;31;30.0
10867.200;29;33.4
10905.600;31;29.8
10944.000;30;32.2
10982.400;30;31.8
11020.800;30;30.4
11059.200;31;28.8
11097.600;30;28.7
11136.000;29;30.7
11174.400;29;32.4
11212.800;28;34.5
11251.200;29;35.1
11289.600;30;34.4
11328.000;30;34.8
11366.400;30;35.6
11404.800;31;35.3
11443.200;31;33.8
11481.600;31;32.9
11520.000;30;32.6
11558.400;30;31.7
11596.800;31;31.5
11635.200;30;30.8
11673.600;31;29.7
11712.000;29;32.0
11750.400;30;31.7
11788.800;29;32.5
11827.200;30;32.9
11865.600;29;33.9
11904.000;29;35.2
11942.400;31;34.3
11980.800;31;33.3
12019.200;30;34.4
12057.600;29;36.3
12096.000;31;34.5
12134.400;30;34.9
12172.800;30;35.2
12211.200;29;37.5
12249.600;30;36.4
12288.000;30;36.3
12326.400;30;35.2
12364.800;31;33.9
12403.200;31;32.7
12441.600;30;31.7
12480.000;30;31.0
12518.400;30;30.1
12556.800;30;30.0
12595.200;29;32.4
12633.600;29;32.8
12672.000;30;32.6
12710.400;30;31.1
12748.800;30;32.0
12787.200;30;31.7
12825.600;31;28.9
12864.000;29;32.1
12902.400;30;29.1
12940.800;31;27.9
12979.200;29;30.2
13017.600;30;30.0
13056.000;30;29.7
13094.400;31;28.0
13132.800;30;27.3
13171.200;30;27.5
13209.600;28;30.9
13248.000;28;35.1
13286.400;30;34.7
13324.800;31;32.8
13363.200;32;31.3
13401.600;30;33.3
13440.000;30;32.6
13478.400;31;31.5
13516.800;31;30.5
13555.200;31;29.1
13593.600;30;30.3
13632.000;30;30.3
13670.400;29;30.6
13708.800;30;30.6
13747.200;29;33.6
13785.600;29;34.2
13824.000;30;33.3
13862.400;31;32.4
13900.800;30;34.9
13939.200;30;33.4
13977.600;30;33.3
14016.000;30;34.7
14054.400;31;32.4
14092.800;30;32.3
14131.200;30;33.0
14169.600;30;32.2
14208.000;30;32.4
14246.400;29;35.2
14284.800;28;38.4
14323.200;30;37.5
14361.600;31;37.0
14400.000;32;35.2
14438.400;32;33.6
14476.800;31;33.1
14515.200;30;31.7
14553.600;30;32.6
14592.000;30;31.2
14630.400;30;31.4
14668.800;30;30.6
14707.200;30;30.1
14745.600;29;29.7
14784.000;30;31.1
14822.400;31;28.9
14860.800;30;29.5
14899.200;29;30.4
14937.600;30;28.3
14976.000;29;31.1
15014.400;29;31.5
15052.800;31;29.3
15091.200;30;29.0
15129.600;30;29.2
15168.000;30;29.3
15206.400;30;28.3
15244.800;29;31.4
15283.200;29;31.4
15321.600;29;32.0
15360.000;29;33.1
15398.400;30;32.1
15436.800;30;32.9
15475.200;30;32.1
15513.600;30;32.1
15552.000;30;32.8
15590.400;30;34.7
15628.800;31;33.2
15667.200;30;33.1
15705.600;31;32.2
15744.000;31;30.8
15782.400;29;33.0
15820.800;29;33.8
15859.200;30;32.7
15897.600;30;31.7
15936.000;29;34.5
15974.400;30;32.0
16012.800;31;31.5
16051.200;29;33.0
16089.600;29;36.1
16128.000;30;33.6
16166.400;32;30.4
16204.800;31;30.8
16243.200;29;33.0
16281.600;28;34.5
16320.000;28;37.2
16358.400;30;36.2
16396.800;31;34.1
16435.200;32;29.6
16473.600;30;32.2
16512.000;30;32.2
16550.400;29;34.4
16588.800;29;34.8
16627.200;31;32.9
16665.600;31;30.8
16704.000;30;31.0
16742.400;30;31.4
16780.800;30;30.5
16819.200;31;28.3
16857.600;28;32.0
16896.000;30;30.4
16934.400;31;28.0
16972.800;29;30.4
17011.200;30;28.8
17049.600;31;26.8
17088.000;30;26.3
17126.400;30;25.8
17164.800;29;27.1
17203.200;28;30.4
17241.600;28;34.0
17280.000;30;33.7
17318.400;31;32.2
17356.800;30;33.6
17395.200;31;32.3
17433.600;30;32.2
17472.000;30;32.8
17510.400;31;31.0
17548.800;31;29.5
17587.200;30;30.7
17625.600;30;30.3
17664.000;30;30.6
17702.400;30;30.0
17740.800;30;30.7
17779.200;29;32.6
17817.600;29;34.0
17856.000;30;32.8
17894.400;29;35.2
17932.800;29;36.2
17971.200;32;33.0
18009.600;32;31.5
18048.000;30;32.1
18086.400;29;33.0
18124.800;30;32.4
18163.200;30;32.4
18201.600;30;32.4
18240.000;30;31.7
18278.400;30;32.8
18316.800;29;36.4
18355.200;30;36.1
18393.600;32;33.3
18432.000;31;31.8
18470.400;31;31.0
18508.800;30;30.4
18547.200;29;31.8
18585.600;28;33.4
18624.000;30;32.5
18662.400;30;31.0
18700.800;30;31.4
18739.200;30;30.9
18777.600;30;30.4
18816.000;31;28.2
18854.400;29;28.6
18892.800;28;32.0
18931.200;31;29.3
18969.600;31;28.4
19008.000;30;27.2
19046.400;30;28.7
19084.800;29;29.4
19123.200;29;29.5
19161.600;30;29.7
