Date:;2020-07-08 21:21:28
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;32.000
Scale:;0;True;1.000;19.500;-23.500;-15.500
Scale:;1;True;2.000;28.700;-36.700;-20.700
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-20;-26.1
32.000;-20;-26.6
64.000;-19;-27.4
96.000;-20;-26.5
128.000;-20;-25.1
160.000;-20;-25.7
192.000;-20;-26.2
224.000;-20;-26.3
256.000;-21;-24.8
288.000;-20;-26.2
320.000;-19;-26.6
352.000;-19;-26.8
384.000;-20;-26.6
416.000;-21;-24.6
448.000;-21;-23.0
480.000;-20;-23.4
512.000;-19;-24.0
544.000;-19;-24.8
576.000;-20;-24.6
608.000;-20;-24.2
640.000;-20;-24.5
672.000;-20;-24.1
704.000;-20;-23.2
736.000;-20;-23.4
768.000;-20;-24.0
800.000;-20;-24.5
832.000;-20;-23.9
864.000;-20;-23.7
896.000;-20;-23.7
928.000;-20;-23.1
960.000;-20;-22.1
992.000;-20;-22.0
1024.000;-20;-22.6
1056.000;-20;-22.8
1088.000;-20;-21.7
1120.000;-20;-22.2
1152.000;-20;-23.1
1184.000;-20;-22.1
1216.000;-20;-22.4
1248.000;-20;-23.4
1280.000;-20;-22.9
1312.000;-20;-22.4
1344.000;-20;-22.8
1376.000;-20;-23.6
1408.000;-20;-23.0
1440.000;-19;-25.0
1472.000;-19;-26.5
1504.000;-19;-26.7
1536.000;-21;-26.2
1568.000;-20;-26.9
1600.000;-19;-27.6
1632.000;-22;-22.9
1664.000;-21;-22.1
1696.000;-20;-22.7
1728.000;-19;-24.0
1760.000;-20;-23.3
1792.000;-19;-25.4
1824.000;-17;-30.5
1856.000;-20;-29.1
1888.000;-21;-28.2
1920.000;-22;-26.6
1952.000;-20;-29.1
1984.000;-20;-28.4
2016.000;-21;-26.8
2048.000;-20;-28.3
2080.000;-19;-29.5
2112.000;-19;-30.7
2144.000;-20;-30.3
2176.000;-21;-30.3
2208.000;-20;-30.6
2240.000;-20;-30.8
2272.000;-20;-31.6
2304.000;-20;-31.9
2336.000;-20;-30.8
2368.000;-20;-31.0
2400.000;-21;-30.5
2432.000;-20;-31.0
2464.000;-20;-30.6
2496.000;-20;-29.8
2528.000;-21;-27.1
2560.000;-20;-28.1
2592.000;-20;-28.6
2624.000;-20;-27.5
2656.000;-20;-26.7
2688.000;-20;-27.2
2720.000;-20;-27.2
2752.000;-20;-26.6
2784.000;-19;-27.6
2816.000;-20;-28.0
2848.000;-21;-26.1
2880.000;-19;-28.7
2912.000;-20;-28.7
2944.000;-20;-28.8
2976.000;-21;-27.2
3008.000;-20;-28.3
3040.000;-20;-27.4
3072.000;-20;-27.5
3104.000;-20;-27.6
3136.000;-21;-26.1
3168.000;-20;-25.3
3200.000;-19;-26.5
3232.000;-20;-26.5
3264.000;-19;-27.9
3296.000;-19;-29.1
3328.000;-19;-30.7
3360.000;-20;-30.8
3392.000;-20;-30.6
3424.000;-20;-30.2
3456.000;-20;-30.8
3488.000;-21;-30.3
3520.000;-21;-29.8
3552.000;-20;-30.0
3584.000;-19;-32.0
3616.000;-19;-32.5
3648.000;-20;-32.0
3680.000;-21;-31.3
3712.000;-21;-31.0
3744.000;-21;-29.8
3776.000;-20;-29.0
