Date:;2020-07-09 22:31:10
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;40.000
Scale:;0;True;20.000;-0.500;-79.500;80.500
Scale:;1;True;20.000;-4.500;-75.500;84.500
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value"""
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;0;0.0
40.000;0;0.0
80.000;0;0.0
120.000;0;0.0
160.000;0;0.0
200.000;0;0.0
240.000;0;0.0
280.000;0;0.0
320.000;0;0.0
360.000;0;0.0
400.000;0;0.0
440.000;0;0.0
480.000;0;0.0
520.000;0;0.0
560.000;0;0.0
600.000;0;0.0
640.000;0;0.0
680.000;0;0.0
720.000;0;0.0
760.000;0;0.0
800.000;0;0.0
840.000;0;0.0
880.000;0;0.0
920.000;0;0.0
960.000;0;0.0
1000.000;0;0.0
1040.000;0;0.0
1080.000;0;0.0
1120.000;0;0.0
1160.000;0;0.0
1200.000;0;0.0
1240.000;0;0.0
1280.000;0;0.0
1320.000;0;0.0
1360.000;0;0.0
1400.000;0;0.0
1440.000;0;0.0
1480.000;0;0.0
1520.000;0;0.0
1560.000;0;0.0
1600.000;0;0.0
1640.000;0;0.0
1680.000;0;0.0
1720.000;0;0.0
1760.000;0;0.0
1800.000;0;0.0
1840.000;0;0.0
1880.000;0;0.0
1920.000;0;0.0
1960.000;0;0.0
2000.000;0;0.0
2040.000;0;0.0
2080.000;0;0.0
2120.000;0;0.0
2160.000;0;0.0
2200.000;0;0.0
2240.000;0;0.0
2280.000;0;0.0
2320.000;0;0.0
2360.000;0;0.0
2400.000;0;0.0
2440.000;0;0.0
2480.000;0;0.0
2520.000;0;0.0
2560.000;0;0.0
2600.000;0;0.0
2640.000;0;0.0
2680.000;0;0.0
2720.000;0;0.0
2760.000;0;0.0
2800.000;0;0.0
2840.000;0;0.0
2880.000;0;0.0
2920.000;0;0.0
2960.000;0;0.0
3000.000;0;0.0
3040.000;0;0.0
3080.000;0;0.0
3120.000;0;0.0
3160.000;0;0.0
3200.000;0;0.0
3240.000;0;0.0
3280.000;0;0.0
3320.000;0;0.0
3360.000;0;0.0
3400.000;0;0.0
3440.000;0;0.0
3480.000;0;0.0
3520.000;0;0.0
3560.000;0;0.0
3600.000;0;0.0
3640.000;0;0.0
3680.000;0;0.0
3720.000;0;0.0
3760.000;0;0.0
3800.000;0;0.0
3840.000;0;0.0
3880.000;0;0.0
3920.000;0;-0.1
3960.000;0;0.0
4000.000;0;0.0
4040.000;0;0.0
4080.000;0;0.0
4120.000;0;0.0
4160.000;0;0.0
4200.000;0;0.0
4240.000;0;0.0
4280.000;0;0.0
4320.000;0;0.0
4360.000;0;0.0
4400.000;0;0.0
4440.000;0;0.0
4480.000;0;0.0
4520.000;0;0.0
4560.000;0;0.0
4600.000;0;0.0
4640.000;0;0.0
4680.000;0;0.0
4720.000;0;0.0
4760.000;0;0.0
4800.000;0;0.0
4840.000;0;0.0
4880.000;0;-46.1
4920.000;-20;-48.7
4960.000;-42;-46.1
5000.000;-49;-51.1
5040.000;-51;-41.4
5080.000;-50;-45.3
5120.000;-50;-41.0
5160.000;-50;-49.1
5200.000;-49;-47.8
5240.000;-49;-40.4
5280.000;-51;-49.2
5320.000;-51;-41.9
5360.000;-49;-40.9
5400.000;-50;-38.0
5440.000;-50;-47.9
5480.000;-50;-42.8
5520.000;-50;-41.0
5560.000;-50;-50.7
5600.000;-51;-47.0
5640.000;-49;-50.8
5680.000;-51;-44.6
5720.000;-50;-40.3
5760.000;-50;-42.6
5800.000;-49;-42.8
5840.000;-48;-50.3
5880.000;-48;-44.4
5920.000;-49;-46.1
5960.000;-50;-50.4
6000.000;-52;-46.4
6040.000;-51;-46.3
6080.000;-52;-45.9
6120.000;-51;-45.0
6160.000;-49;-47.4
6200.000;-51;-44.9
6240.000;-51;-47.7
6280.000;-51;-45.7
6320.000;-50;-46.5
6360.000;-49;-43.2
6400.000;-49;-52.2
6440.000;-50;-44.0
6480.000;-50;-47.0
6520.000;-51;-45.6
6560.000;-49;-48.0
6600.000;-50;-43.0
6640.000;-50;-42.8
6680.000;-50;-41.4
6720.000;-49;-49.2
6760.000;-50;-45.8
6800.000;-51;-44.7
6840.000;-51;-47.5
6880.000;-49;-51.4
6920.000;-50;-46.9
6960.000;-49;-40.5
7000.000;-48;-44.9
7040.000;-48;-48.5
7080.000;-49;-50.4
7120.000;-50;-44.0
7160.000;-51;-45.0
7200.000;-51;-47.9
7240.000;-52;-46.9
7280.000;-52;-48.0
7320.000;-51;-43.4
7360.000;-49;-50.4
7400.000;-51;-43.4
7440.000;-51;-41.3
7480.000;-50;-46.4
7520.000;-50;-44.3
7560.000;-50;-52.2
7600.000;-51;-46.0
7640.000;-50;-44.7
7680.000;-51;-42.9
7720.000;-51;-45.4
7760.000;-50;-46.7
7800.000;-50;-46.0
7840.000;-50;-46.5
7880.000;-50;-47.0
7920.000;-49;-50.4
7960.000;-50;-49.2
8000.000;-50;-45.8
8040.000;-50;-43.3
8080.000;-50;-46.3
8120.000;-50;-42.5
8160.000;-49;-41.3
8200.000;-48;-50.1
8240.000;-49;-48.6
8280.000;-50;-46.4
8320.000;-50;-42.0
8360.000;-50;-45.0
8400.000;-51;-47.0
8440.000;-52;-44.4
8480.000;-51;-48.4
8520.000;-50;-43.2
8560.000;-49;-50.3
8600.000;-51;-45.9
8640.000;-51;-44.0
8680.000;-50;-42.2
8720.000;-50;-44.4
8760.000;-51;-47.0
8800.000;-51;-43.7
8840.000;-49;-48.2
8880.000;-50;-44.9
8920.000;-50;-44.3
8960.000;-49;-48.4
9000.000;-50;-46.2
9040.000;-50;-45.5
9080.000;-50;-46.2
9120.000;-49;-46.7
9160.000;-50;-49.3
9200.000;-51;-45.2
9240.000;-51;-43.2
9280.000;-49;-40.0
9320.000;-50;-44.2
9360.000;-48;-48.7
9400.000;-48;-48.0
9440.000;-51;-50.8
9480.000;-50;-46.3
9520.000;-50;-47.7
9560.000;-50;-51.8
9600.000;-50;-45.6
9640.000;-25;-35
9680.000;-7;-35.1
9720.000;-2;-35.3
9760.000;0;0
9800.000;0;0
9840.000;0;0
9880.000;0;0
9920.000;0;0
9960.000;0;0
10000.000;0;0
10040.000;0;0
10080.000;0;0
10120.000;0;0
10160.000;0;0
10200.000;0;0
10240.000;0;0
10280.000;0;0
10320.000;0;0
10360.000;0;0
10400.000;0;0
10440.000;0;0
10480.000;0;50
10520.000;3;51.0
10560.000;36;56.6
10600.000;49;51.2
10640.000;52;49.7
10680.000;52;56.6
10720.000;52;45.1
10760.000;51;51.1
10800.000;51;48.0
10840.000;51;57.1
10880.000;52;49.2
10920.000;52;57.7
10960.000;52;44.5
11000.000;49;48.2
11040.000;49;54.7
11080.000;50;47.2
11120.000;50;49.2
11160.000;50;57.7
11200.000;52;48.2
11240.000;51;54.6
11280.000;49;55.3
11320.000;50;48.5
11360.000;49;44.9
11400.000;49;52.1
11440.000;50;51.4
11480.000;50;53.5
11520.000;50;46.2
11560.000;50;57.5
11600.000;51;44.2
11640.000;49;52.0
11680.000;50;57.6
11720.000;52;51.8
11760.000;51;52.6
11800.000;50;52.7
11840.000;50;53.9
11880.000;51;48.5
11920.000;51;48.3
11960.000;50;45.8
12000.000;49;48.1
12040.000;49;51.3
12080.000;50;51.1
12120.000;50;50.8
12160.000;52;46.7
12200.000;49;47.0
12240.000;49;58.0
12280.000;51;55.3
12320.000;51;47.0
12360.000;50;49.8
12400.000;50;48.3
12440.000;50;51.0
12480.000;50;46.1
12520.000;49;49.1
12560.000;49;47.7
12600.000;49;51.2
12640.000;48;57.4
12680.000;50;47.6
12720.000;50;57.1
12760.000;51;50.6
12800.000;51;48.2
12840.000;51;52.8
12880.000;50;57.3
12920.000;51;46.5
12960.000;50;46.2
13000.000;47;54.3
13040.000;51;53.9
13080.000;53;48.3
13120.000;52;45.9
13160.000;50;52.2
13200.000;50;46.2
13240.000;49;48.5
13280.000;48;50.2
13320.000;49;51.6
13360.000;51;47.9
13400.000;51;46.9
13440.000;50;51.5
13480.000;50;55.7
13520.000;50;48.7
13560.000;50;53.5
13600.000;51;46.8
13640.000;50;55.7
13680.000;50;40.4
13720.000;49;52.4
13760.000;50;45.2
13800.000;50;47.5
13840.000;49;47.9
13880.000;49;52.7
13920.000;50;47.8
13960.000;49;58.7
14000.000;50;57.2
14040.000;52;49.8
14080.000;51;52.1
14120.000;50;50.9
14160.000;49;54.5
14200.000;50;55.5
14240.000;51;53.3
14280.000;52;44.1
14320.000;51;51.7
14360.000;51;46.0
14400.000;50;51.7
14440.000;49;44.8
14480.000;48;58.5
14520.000;50;50.3
14560.000;50;47.4
14600.000;50;48.9
14640.000;49;50.8
14680.000;52;49.3
14720.000;52;48.6
14760.000;49;53.0
14800.000;50;51.8
14840.000;50;45.5
14880.000;48;55.7
14920.000;51;49.0
14960.000;51;44.9
