Date:;2020-07-10 20:18:01
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;40.000
Scale:;0;True;100.000;1.500;-401.500;398.500
Scale:;1;True;10.000;-4.350;-35.650;44.350
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value"""
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;0;0.0
40.000;0;0.0
80.000;0;0.0
120.000;0;0.0
160.000;0;0.0
200.000;0;0.0
240.000;0;0.0
280.000;0;0.0
320.000;0;0.0
360.000;0;0.0
400.000;0;0.0
440.000;0;0.0
480.000;0;0.0
520.000;0;0.0
560.000;0;0.0
600.000;0;0.0
640.000;0;0.0
680.000;0;0.0
720.000;0;0.0
760.000;0;0.0
800.000;0;0.0
840.000;0;0.0
880.000;0;0.0
920.000;0;0.0
960.000;0;0.0
1000.000;0;0.0
1040.000;0;0.0
1080.000;0;0.0
1120.000;0;0.0
1160.000;0;0.0
1200.000;0;0.0
1240.000;0;0.0
1280.000;0;0.0
1320.000;0;0.0
1360.000;0;0.0
1400.000;0;0.0
1440.000;0;0.0
1480.000;0;0.0
1520.000;0;0.0
1560.000;0;0.0
1600.000;0;0.0
1640.000;0;0.0
1680.000;0;0.0
1720.000;0;0.0
1760.000;0;0.0
1800.000;0;0.0
1840.000;0;0.0
1880.000;0;0.0
1920.000;0;0.0
1960.000;0;0.0
2000.000;0;0.0
2040.000;0;0.0
2080.000;0;0.0
2120.000;0;0.0
2160.000;0;0.0
2200.000;0;0.0
2240.000;0;0.0
2280.000;0;0.0
2320.000;0;0.0
2360.000;0;0.0
2400.000;0;0.0
2440.000;0;0.0
2480.000;0;0.0
2520.000;0;0.0
2560.000;0;0.0
2600.000;0;0.0
2640.000;0;0.0
2680.000;0;0.0
2720.000;0;0.0
2760.000;0;0.0
2800.000;0;0.0
2840.000;0;0.0
2880.000;0;0.0
2920.000;0;0.0
2960.000;0;0.0
3000.000;0;0.0
3040.000;0;0.0
3080.000;0;0.0
3120.000;0;0.0
3160.000;0;0.0
3200.000;0;0.0
3240.000;0;0.0
3280.000;0;0.0
3320.000;0;0.0
3360.000;0;0.0
3400.000;0;0.0
3440.000;0;0.0
3480.000;0;0.0
3520.000;0;0.0
3560.000;0;0.0
3600.000;0;0.0
3640.000;0;0.0
3680.000;0;0.0
3720.000;0;0.0
3760.000;0;0.0
3800.000;0;0.0
3840.000;0;0.0
3880.000;0;0.0
3920.000;0;0.0
3960.000;0;0.0
4000.000;0;0.0
4040.000;0;0.0
4080.000;0;0.0
4120.000;0;0.0
4160.000;0;0.0
4200.000;0;0.0
4240.000;0;0.0
4280.000;0;0.0
4320.000;0;0.0
4360.000;0;0.0
4400.000;0;0.0
4440.000;0;0.0
4480.000;0;0.0
4520.000;0;0.0
4560.000;0;0.0
4600.000;0;0.0
4640.000;0;0.0
4680.000;0;0.0
4720.000;0;0.0
4760.000;0;0.0
4800.000;0;0.0
4840.000;-61;-15.3
4880.000;-161;-13.4
4920.000;-191;-14.2
4960.000;-200;-13.5
5000.000;-203;-9.8
5040.000;-199;-10.6
5080.000;-200;-10.0
5120.000;-200;-9.8
5160.000;-197;-12.3
5200.000;-199;-13.1
5240.000;-200;-13.9
5280.000;-205;-10.3
5320.000;-200;-11.0
5360.000;-200;-10.9
5400.000;-200;-9.9
5440.000;-198;-11.4
5480.000;-197;-13.7
5520.000;-201;-13.2
5560.000;-201;-13.6
5600.000;-204;-9.5
5640.000;-199;-10.9
5680.000;-199;-10.4
5720.000;-200;-10.3
5760.000;-197;-13.1
5800.000;-199;-13.2
5840.000;-202;-13.1
5880.000;-204;-10.3
5920.000;-202;-9.2
5960.000;-202;-9.8
6000.000;-200;-10.1
6040.000;-198;-11.1
6080.000;-199;-12.4
6120.000;-201;-13.8
6160.000;-201;-13.6
6200.000;-205;-9.3
6240.000;-200;-10.7
6280.000;-198;-11.0
6320.000;-200;-9.6
6360.000;-196;-13.0
6400.000;-200;-12.5
6440.000;-200;-14.2
6480.000;-205;-10.8
6520.000;-203;-10.8
6560.000;-200;-10.0
6600.000;-200;-10.0
6640.000;-197;-10.9
6680.000;-196;-14.3
6720.000;-198;-14.9
6760.000;-204;-11.8
6800.000;-204;-9.3
6840.000;-200;-10.8
6880.000;-201;-9.2
6920.000;-200;-10.5
6960.000;-197;-12.3
7000.000;-198;-13.9
7040.000;-200;-16.3
7080.000;-208;-8.9
7120.000;-200;-11.7
7160.000;-201;-9.9
7200.000;-198;-10.9
7240.000;-198;-11.6
7280.000;-197;-14.1
7320.000;-199;-15.2
7360.000;-203;-12.7
7400.000;-204;-9.2
7440.000;-199;-10.4
7480.000;-200;-10.0
7520.000;-200;-10.4
7560.000;-197;-12.8
7600.000;-198;-15.0
7640.000;-200;-14.8
7680.000;-205;-11.2
7720.000;-202;-11.0
7760.000;-199;-11.2
7800.000;-200;-10.4
7840.000;-197;-12.2
7880.000;-197;-14.0
7920.000;-198;-14.9
7960.000;-203;-13.6
8000.000;-203;-11.2
8040.000;-201;-9.9
8080.000;-201;-9.1
8120.000;-200;-9.7
8160.000;-197;-12.1
8200.000;-199;-14.4
8240.000;-202;-14.3
8280.000;-204;-12.1
8320.000;-201;-11.3
8360.000;-201;-9.6
8400.000;-198;-11.7
8440.000;-198;-11.2
8480.000;-198;-13.4
8520.000;-198;-15.5
8560.000;-202;-14.2
8600.000;-205;-10.0
8640.000;-198;-11.9
8680.000;-201;-9.6
8720.000;-200;-9.6
8760.000;-198;-11.5
8800.000;-198;-14.9
8840.000;-201;-14.9
8880.000;-204;-12.9
8920.000;-200;-12.3
8960.000;-200;-11.0
9000.000;-199;-9.9
9040.000;-199;-10.4
9080.000;-195;-14.6
9120.000;-199;-14.6
9160.000;-201;-14.6
9200.000;-204;-10.8
9240.000;-202;-9.5
9280.000;-200;-10.0
9320.000;-200;-10.1
9360.000;-199;-11.2
9400.000;-200;-13.4
9440.000;-200;-14.6
9480.000;-201;-14.3
9520.000;-201;-12.6
9560.000;-202;-9.3
9600.000;-199;-10.3
9640.000;-197;-11.4
9680.000;-198;-13.5
9720.000;-200;-13.7
9760.000;-202;-14.1
9800.000;-204;-10.8
9840.000;-138;-8.4
9880.000;-39;-8.5
9920.000;-11;-7.3
9960.000;-3;0
10000.000;-1;0
10040.000;0;0
10080.000;0;0
10120.000;0;0
10160.000;130;20.8
10200.000;188;20.7
10240.000;203;19.1
10280.000;200;20.7
10320.000;202;20.3
10360.000;203;18.9
10400.000;194;23.8
10440.000;196;25.0
10480.000;203;21.8
10520.000;202;20.5
10560.000;202;18.9
10600.000;198;20.7
10640.000;199;19.5
10680.000;199;19.6
10720.000;197;21.8
10760.000;199;22.6
10800.000;202;21.1
10840.000;202;19.1
10880.000;200;19.3
10920.000;200;19.2
10960.000;200;19.5
11000.000;198;20.9
11040.000;198;22.3
11080.000;200;22.9
11120.000;203;19.7
11160.000;198;22.4
11200.000;200;19.9
11240.000;197;20.9
11280.000;199;21.0
11320.000;199;21.6
11360.000;198;22.9
11400.000;200;21.4
11440.000;202;18.0
11480.000;199;19.3
11520.000;199;19.3
11560.000;200;20.3
11600.000;201;20.6
11640.000;197;23.1
11680.000;201;21.7
11720.000;203;19.0
11760.000;200;19.7
11800.000;200;18.8
11840.000;199;19.6
11880.000;199;21.0
11920.000;199;21.7
11960.000;199;23.4
12000.000;203;21.2
12040.000;201;20.1
12080.000;200;19.0
12120.000;197;21.1
12160.000;200;20.4
12200.000;199;22.2
12240.000;201;22.5
12280.000;201;22.3
12320.000;203;18.4
12360.000;198;20.3
12400.000;198;20.4
12440.000;202;18.7
12480.000;199;21.8
12520.000;199;23.1
12560.000;200;23.1
12600.000;204;19.9
12640.000;202;19.1
12680.000;198;19.2
12720.000;200;18.7
12760.000;198;20.9
12800.000;200;21.4
12840.000;199;22.2
12880.000;200;21.9
12920.000;202;19.2
12960.000;201;19.7
13000.000;200;19.1
13040.000;197;21.0
13080.000;200;21.0
13120.000;200;22.4
13160.000;200;21.5
13200.000;204;19.1
13240.000;200;19.4
13280.000;198;19.2
13320.000;200;18.6
13360.000;198;20.9
13400.000;199;22.0
13440.000;200;21.5
13480.000;200;22.4
13520.000;203;18.4
13560.000;200;19.3
13600.000;198;19.6
13640.000;198;20.8
13680.000;200;20.0
13720.000;201;21.7
13760.000;198;22.9
13800.000;204;20.0
13840.000;201;19.8
13880.000;200;19.4
13920.000;200;19.2
13960.000;199;20.7
14000.000;198;21.9
14040.000;201;21.2
14080.000;200;22.8
14120.000;205;17.6
14160.000;200;18.8
14200.000;198;20.4
14240.000;198;20.4
14280.000;198;23.2
14320.000;201;22.1
14360.000;200;21.2
14400.000;203;18.9
14440.000;201;19.0
14480.000;199;18.6
14520.000;200;18.1
14560.000;194;23.2
14600.000;202;21.6
14640.000;203;20.5
14680.000;198;23.4
14720.000;204;17.9
14760.000;200;19.5
14800.000;199;18.5
