Date:;2020-07-06 17:01:36,,
Firmware Version:;0x0120;0x6150;0x0000;0x0000,,
EPOS Studio Version:;3.6.1.0,,
Index:;0x30D3;0x30D2;0x0000;0x0000,,
Subindex:;0x01;0x01;0x00;0x00,,
Max. samples:;500,,
Recorded samples:;500,,
Sampling period:;256.000,,
Scale:;0;True;2.000;5.000;-13.000;3.000,,
Scale:;1;True;2.000;10.050;-18.050;-2.050,,
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value""",,
TriggerAttributes:;1;4;0x30D3;0x01;0.000000,,
;Velocity actual value averaged;Torque actual value averaged,,
ms;rpm;%,,
0.000;0;-1200,,was -8.9
256.000;0;-9.4,,
512.000;0;-9.7,,
768.000;-2;-9.0,,
1024.000;0;-9.7,,
1280.000;-1;-10.1,,
1536.000;-3;-9.3,,
1792.000;0;-9.3,,
2048.000;0;-9.8,,
2304.000;-4;-9.0,,
2560.000;-1;-8.6,,
2816.000;-1;-9.1,,
3072.000;0;-9.4,,
3328.000;0;-10.4,,
3584.000;0;-11.3,,
3840.000;-10;-9.1,,
4096.000;0;-9.7,,
4352.000;0;-10.3,,
4608.000;-1;-10.2,,
4864.000;-1;-10.5,,
5120.000;-6;-7.4,,
5376.000;0;-8.1,,
5632.000;0;-8.7,,
5888.000;-1;-9.3,,
6144.000;0;-9.5,,
6400.000;0;-10.2,,
6656.000;-1;-10.4,,
6912.000;-5;-9.3,,
7168.000;-1;-8.5,,
7424.000;-1;-8.8,,
7680.000;-1;-8.6,,
7936.000;-3;-7.8,,
8192.000;0;-7.3,,
8448.000;0;-8.0,,
8704.000;0;-8.6,,
8960.000;0;-9.3,,
9216.000;-1;-9.6,,
9472.000;-3;-9.2,,
9728.000;-1;-8.1,,
9984.000;0;-8.8,,
10240.000;-1;-9.2,,
10496.000;-2;-9.3,,
10752.000;-1;-8.3,,
11008.000;-1;-8.6,,
11264.000;-1;-8.6,,
11520.000;0;-8.7,,
11776.000;-2;-7.6,,
12032.000;-1;-8.1,,
12288.000;0;-8.5,,
12544.000;0;-9.0,,
12800.000;0;-9.5,,
13056.000;-1;-9.9,,
13312.000;-1;-7.9,,
13568.000;0;-8.5,,
13824.000;0;-9.1,,
14080.000;0;-9.7,,
14336.000;-1;-9.6,,
14592.000;-3;-7.6,,
14848.000;0;-7.9,,
15104.000;-1;-6.5,,
15360.000;0;-7.2,,
15616.000;0;-8.0,,
15872.000;0;-8.9,,
16128.000;0;-9.6,,
16384.000;0;-10.3,,
16640.000;0;-11.2,,
16896.000;0;-12.0,,
17152.000;0;-12.8,,
17408.000;0;-13.6,,
17664.000;0;-14.3,,
17920.000;0;-15.2,,
18176.000;0;-15.9,,
18432.000;0;-9.5,,
18688.000;0;-10.1,,
18944.000;-3;-10.0,,
19200.000;-1;-9.4,,
19456.000;0;-9.9,,
19712.000;-4;-7.6,,
19968.000;-1;-7.0,,
20224.000;0;-7.3,,
20480.000;-1;-7.8,,
20736.000;-3;-7.1,,
20992.000;0;-7.6,,
21248.000;0;-8.3,,
21504.000;0;-8.8,,
21760.000;0;-9.4,,
22016.000;-5;-8.6,,
22272.000;-1;-8.1,,
22528.000;-1;-8.3,,
22784.000;-3;-7.6,,
23040.000;-1;-6.6,,
23296.000;0;-7.0,,
23552.000;0;-7.6,,
23808.000;0;-8.3,,
24064.000;0;-8.9,,
24320.000;-1;-9.3,,
24576.000;-2;-6.6,,
24832.000;-1;-6.3,,
25088.000;0;-6.6,,
25344.000;0;-7.4,,
25600.000;0;-8.0,,
25856.000;-1;-8.4,,
26112.000;-3;-6.3,,
26368.000;0;-6.9,,
26624.000;0;-7.6,,
26880.000;0;-8.2,,
27136.000;-1;-8.9,,
27392.000;-2;-8.1,,
27648.000;0;-6.6,,
27904.000;0;-7.3,,
28160.000;0;-8.1,,
28416.000;0;-8.9,,
28672.000;0;-9.6,,
28928.000;-1;-10.3,,
29184.000;-10;-7.5,,
29440.000;-1;-6.7,,
29696.000;-2;-6.2,,
29952.000;0;-6.9,,
30208.000;0;-7.5,,
30464.000;-1;-7.8,,
30720.000;-1;-8.6,,
30976.000;-3;-6.3,,
31232.000;0;-6.9,,
31488.000;0;-7.6,,
31744.000;-1;-7.9,,
32000.000;-1;-8.2,,
32256.000;-6;-6.9,,
32512.000;-1;-6.1,,
32768.000;0;-6.0,,
33024.000;0;-6.5,,
33280.000;-1;-7.0,,
33536.000;-1;-7.2,,
33792.000;-1;-7.4,,
34048.000;-1;-7.2,,
34304.000;-2;-6.1,,
34560.000;0;-6.6,,
34816.000;0;-7.1,,
35072.000;0;-7.6,,
35328.000;-2;-7.3,,
35584.000;-1;-7.0,,
35840.000;-2;-6.8,,
36096.000;-1;-6.4,,
36352.000;0;-6.9,,
36608.000;-1;-7.2,,
36864.000;-1;-7.6,,
37120.000;0;-7.1,,
37376.000;-2;-7.3,,
37632.000;0;-6.5,,
37888.000;-1;-6.8,,
38144.000;-1;-6.0,,
38400.000;0;-6.7,,
38656.000;0;-7.1,,
38912.000;-1;-7.3,,
39168.000;-1;-7.2,,
39424.000;-2;-6.6,,
39680.000;-1;-6.8,,
39936.000;-1;-6.8,,
40192.000;-1;-6.9,,
40448.000;-1;-7.4,,
40704.000;-1;-7.4,,
40960.000;-1;-5.5,,
41216.000;0;-6.3,,
41472.000;0;-7.0,,
41728.000;0;-7.6,,
41984.000;-1;-7.9,,
42240.000;0;-8.6,,
42496.000;-1;-6.8,,
42752.000;-1;-6.7,,
43008.000;-1;-6.5,,
43264.000;-1;-6.2,,
43520.000;-1;-6.4,,
43776.000;-1;-6.5,,
44032.000;-1;-6.3,,
44288.000;-1;-6.7,,
44544.000;0;-7.2,,
44800.000;-1;-7.6,,
45056.000;-1;-7.4,,
45312.000;-3;-5.5,,
45568.000;0;-6.1,,
45824.000;0;-6.8,,
46080.000;0;-7.4,,
46336.000;-1;-7.8,,
46592.000;-2;-6.5,,
46848.000;-1;-6.0,,
47104.000;0;-6.6,,
47360.000;-1;-6.9,,
47616.000;0;-7.6,,
47872.000;-1;-7.0,,
48128.000;-1;-7.3,,
48384.000;-1;-7.4,,
48640.000;-2;-6.6,,
48896.000;-1;-6.1,,
49152.000;-1;-6.0,,
49408.000;0;-6.4,,
49664.000;-1;-6.9,,
49920.000;0;-7.7,,
50176.000;-1;-8.0,,
50432.000;-4;-7.6,,
50688.000;-1;-5.9,,
50944.000;0;-6.5,,
51200.000;0;-7.0,,
51456.000;-1;-7.3,,
51712.000;-1;-7.8,,
51968.000;-1;-8.1,,
52224.000;-2;-8.0,,
52480.000;0;-7.8,,
52736.000;-1;-8.0,,
