Date:;2020-07-06 15:39:22
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;32.000
Scale:;0;True;10.000;35.500;-75.500;4.500
Scale:;1;True;2.000;13.250;-21.250;-5.250
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-44;-8.2
32.000;-43;-7.9
64.000;-39;-8.5
96.000;-36;-8.8
128.000;-42;-7.9
160.000;-38;-9.0
192.000;-42;-8.3
224.000;-38;-8.9
256.000;-45;-7.6
288.000;-41;-8.3
320.000;-36;-9.5
352.000;-38;-9.2
384.000;-36;-9.6
416.000;-39;-9.9
448.000;-26;-12.6
480.000;-43;-9.7
512.000;-38;-11.3
544.000;-42;-10.6
576.000;-36;-11.4
608.000;-40;-11.0
640.000;-39;-11.8
672.000;-39;-11.2
704.000;-41;-11.2
736.000;-42;-10.8
768.000;-39;-12.3
800.000;-37;-12.7
832.000;-34;-12.9
864.000;-39;-12.4
896.000;-42;-11.4
928.000;-44;-10.6
960.000;-42;-11.0
992.000;-43;-10.3
1024.000;-44;-9.8
1056.000;-42;-10.5
1088.000;-49;-7.4
1120.000;-34;-10.7
1152.000;-42;-10.5
1184.000;-41;-9.1
1216.000;-45;-9.0
1248.000;-40;-9.8
1280.000;-41;-8.9
1312.000;-40;-8.9
1344.000;-41;-8.9
1376.000;-42;-8.8
1408.000;-37;-9.9
1440.000;-42;-7.8
1472.000;-33;-10.0
1504.000;-44;-8.3
1536.000;-41;-8.6
1568.000;-42;-8.6
1600.000;-43;-7.9
1632.000;-41;-8.3
1664.000;-38;-8.7
1696.000;-42;-7.9
1728.000;-39;-8.1
1760.000;-42;-7.6
1792.000;-36;-9.4
1824.000;-41;-7.8
1856.000;-34;-10.4
1888.000;-37;-10.1
1920.000;-40;-9.5
1952.000;-39;-9.7
1984.000;-37;-11.0
2016.000;-32;-12.0
2048.000;-40;-11.0
2080.000;-41;-10.9
2112.000;-39;-10.7
2144.000;-39;-11.0
2176.000;-42;-10.9
2208.000;-35;-12.4
2240.000;-35;-13.3
2272.000;-39;-11.2
2304.000;-44;-11.1
2336.000;-36;-13.5
2368.000;-41;-12.0
2400.000;-38;-13.1
2432.000;-34;-12.1
2464.000;-44;-11.2
2496.000;-38;-12.8
2528.000;-43;-11.0
2560.000;-42;-11.3
2592.000;-47;-9.5
2624.000;-40;-9.6
2656.000;-28;-13.9
2688.000;-13;-18.0
2720.000;-60;-8.6
2752.000;-58;-8.6
2784.000;-48;-9.6
2816.000;-32;-11.7
2848.000;-46;-8.8
2880.000;-48;-8.1
2912.000;-43;-8.6
2944.000;-42;-7.8
2976.000;-22;-13.6
3008.000;-32;-10.2
3040.000;-53;-7.8
3072.000;-49;-8.3
3104.000;-45;-8.5
3136.000;-38;-9.1
3168.000;-38;-9.4
3200.000;-41;-8.6
3232.000;-43;-7.9
3264.000;-39;-8.6
3296.000;-40;-8.5
3328.000;-38;-9.2
3360.000;-38;-9.1
3392.000;-41;-8.6
3424.000;-35;-10.5
3456.000;-38;-10.0
3488.000;-37;-10.6
3520.000;-39;-9.8
3552.000;-38;-10.7
3584.000;-41;-10.6
3616.000;-38;-10.8
3648.000;-34;-12.8
3680.000;-37;-11.9
3712.000;-42;-10.9
3744.000;-46;-10.0
3776.000;-39;-11.2
3808.000;-41;-10.3
3840.000;-34;-13.2
3872.000;-40;-12.1
3904.000;-41;-12.3
3936.000;-42;-10.7
3968.000;-32;-14.0
4000.000;-51;-8.6
4032.000;-43;-10.6
4064.000;-43;-10.1
4096.000;-47;-9.3
4128.000;-45;-8.4
4160.000;-41;-9.4
4192.000;-44;-8.8
4224.000;-35;-9.7
4256.000;-42;-9.1
4288.000;-38;-9.1
4320.000;-40;-9.1
4352.000;-42;-8.0
4384.000;-40;-9.3
4416.000;-39;-9.0
4448.000;-41;-8.3
4480.000;-45;-7.2
4512.000;-43;-7.2
4544.000;-40;-8.3
4576.000;-37;-8.4
4608.000;-40;-8.3
4640.000;-42;-7.7
4672.000;-39;-8.5
4704.000;-38;-8.6
4736.000;-38;-8.6
4768.000;-37;-9.3
4800.000;-37;-9.6
4832.000;-39;-9.3
4864.000;-34;-10.8
4896.000;-39;-9.9
4928.000;-41;-9.7
4960.000;-40;-9.4
4992.000;-39;-10.3
5024.000;-38;-10.3
5056.000;-34;-12.0
5088.000;-39;-10.8
5120.000;-40;-10.8
5152.000;-39;-12.0
5184.000;-39;-10.3
5216.000;-25;-15.6
5248.000;-31;-13.3
5280.000;-43;-15.1
5312.000;-38;-12.6
5344.000;-50;-11.4
5376.000;-47;-11.3
5408.000;-42;-12.0
5440.000;-38;-11.6
5472.000;-44;-10.8
5504.000;-48;-9.7
5536.000;-29;-13.8
5568.000;-42;-9.8
5600.000;-48;-10.8
5632.000;-33;-11.4
5664.000;-52;-7.9
5696.000;-50;-7.7
5728.000;-44;-8.3
5760.000;-34;-10.5
5792.000;-42;-8.4
