Date:;2020-07-06 17:42:23,,
Firmware Version:;0x0120;0x6150;0x0000;0x0000,,
EPOS Studio Version:;3.6.1.0,,
Index:;0x30D3;0x30D2;0x0000;0x0000,,
Subindex:;0x01;0x01;0x00;0x00,,
Max. samples:;500,,
Recorded samples:;500,,
Sampling period:;256.000,,
Scale:;0;True;2.000;-5.000;-3.000;13.000,,
Scale:;1;True;2.000;-24.200;16.200;32.200,,
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value""",,
TriggerAttributes:;1;4;0x30D3;0x01;0.000000,,
;Velocity actual value averaged;Torque actual value averaged,,
ms;rpm;%,,
0.000;1;-400,,was 22.1
256.000;1;22.4,,
512.000;1;22.6,,
768.000;1;22.4,,
1024.000;2;21.6,,
1280.000;1;21.2,,
1536.000;1;21.0,,
1792.000;1;20.9,,
2048.000;1;21.1,,
2304.000;0;21.8,,
2560.000;0;22.3,,
2816.000;0;22.8,,
3072.000;1;23.0,,
3328.000;2;22.6,,
3584.000;2;21.0,,
3840.000;0;21.5,,
4096.000;0;22.1,,
4352.000;0;22.6,,
4608.000;0;23.2,,
4864.000;2;23.4,,
5120.000;2;21.0,,
5376.000;1;20.3,,
5632.000;1;20.6,,
5888.000;1;20.9,,
6144.000;0;21.2,,
6400.000;0;21.7,,
6656.000;1;22.0,,
6912.000;1;21.8,,
7168.000;1;21.7,,
7424.000;2;21.0,,
7680.000;1;21.0,,
7936.000;1;21.4,,
8192.000;1;21.5,,
8448.000;2;21.1,,
8704.000;1;21.3,,
8960.000;1;21.7,,
9216.000;1;22.1,,
9472.000;1;22.3,,
9728.000;1;22.5,,
9984.000;1;22.8,,
10240.000;1;22.9,,
10496.000;1;23.0,,
10752.000;1;23.2,,
11008.000;0;23.4,,
11264.000;1;23.7,,
11520.000;1;23.8,,
11776.000;1;23.7,,
12032.000;0;24.2,,
12288.000;1;24.4,,
12544.000;2;24.6,,
12800.000;2;23.4,,
13056.000;1;23.3,,
13312.000;1;23.2,,
13568.000;1;23.3,,
13824.000;1;23.6,,
14080.000;1;23.5,,
14336.000;2;23.6,,
14592.000;1;23.2,,
14848.000;1;23.0,,
15104.000;1;23.0,,
15360.000;1;23.2,,
15616.000;1;23.3,,
15872.000;2;23.1,,
16128.000;1;22.7,,
16384.000;1;22.8,,
16640.000;1;23.3,,
16896.000;2;22.1,,
17152.000;2;21.3,,
17408.000;1;21.3,,
17664.000;1;21.3,,
17920.000;1;21.7,,
18176.000;1;21.7,,
18432.000;2;21.5,,
18688.000;1;21.4,,
18944.000;1;21.4,,
19200.000;1;21.6,,
19456.000;0;21.9,,
19712.000;1;22.1,,
19968.000;0;22.8,,
20224.000;1;23.0,,
20480.000;0;23.4,,
20736.000;1;23.7,,
20992.000;0;24.1,,
21248.000;0;24.6,,
21504.000;1;25.1,,
21760.000;1;25.2,,
22016.000;1;24.5,,
22272.000;0;24.7,,
22528.000;1;25.2,,
22784.000;1;25.7,,
23040.000;6;23.9,,
23296.000;1;23.5,,
23552.000;1;23.3,,
23808.000;0;23.4,,
24064.000;1;23.5,,
24320.000;1;23.2,,
24576.000;1;23.4,,
24832.000;2;22.8,,
25088.000;1;22.9,,
25344.000;1;23.1,,
25600.000;1;23.1,,
25856.000;1;23.1,,
26112.000;1;23.2,,
26368.000;0;23.5,,
26624.000;1;23.7,,
26880.000;1;23.7,,
27136.000;0;24.1,,
27392.000;1;24.2,,
27648.000;1;24.6,,
27904.000;1;24.3,,
28160.000;0;24.5,,
28416.000;1;24.9,,
28672.000;0;25.5,,
28928.000;1;25.7,,
29184.000;1;25.1,,
29440.000;1;24.8,,
29696.000;1;25.0,,
29952.000;1;24.9,,
30208.000;4;23.9,,
30464.000;1;23.9,,
30720.000;1;24.3,,
30976.000;0;24.7,,
31232.000;1;25.2,,
31488.000;0;25.7,,
31744.000;1;26.1,,
32000.000;3;25.1,,
32256.000;1;24.6,,
32512.000;1;24.6,,
32768.000;2;23.8,,
33024.000;1;23.4,,
33280.000;0;23.8,,
33536.000;0;24.5,,
33792.000;0;25.0,,
34048.000;2;24.7,,
34304.000;3;22.0,,
34560.000;0;22.1,,
34816.000;0;22.8,,
35072.000;0;23.6,,
35328.000;0;24.3,,
35584.000;0;25.0,,
35840.000;0;25.9,,
36096.000;0;26.5,,
36352.000;0;27.5,,
36608.000;0;28.2,,
36864.000;0;29.0,,
37120.000;0;29.6,,
37376.000;1;30.0,,
37632.000;10;22.2,,
37888.000;2;20.7,,
38144.000;1;21.0,,
38400.000;2;20.6,,
38656.000;1;20.5,,
38912.000;1;20.9,,
39168.000;1;19.4,,
39424.000;1;19.1,,
39680.000;1;19.5,,
39936.000;0;20.1,,
40192.000;0;20.7,,
40448.000;0;21.3,,
40704.000;0;21.7,,
40960.000;2;20.4,,
41216.000;1;20.5,,
41472.000;1;19.9,,
41728.000;1;19.7,,
41984.000;1;20.0,,
42240.000;1;20.3,,
42496.000;0;20.7,,
42752.000;1;21.0,,
43008.000;0;21.6,,
43264.000;1;22.1,,
43520.000;0;22.7,,
43776.000;1;22.9,,
44032.000;2;21.3,,
44288.000;4;19.3,,
44544.000;0;19.8,,
44800.000;0;20.5,,
45056.000;0;21.2,,
45312.000;0;21.8,,
45568.000;0;22.5,,
45824.000;6;21.1,,
46080.000;1;21.1,,
46336.000;3;20.2,,
46592.000;0;19.0,,
46848.000;1;19.6,,
47104.000;0;20.3,,
47360.000;0;21.0,,
47616.000;0;21.9,,
47872.000;0;22.6,,
48128.000;0;23.4,,
48384.000;0;24.1,,
48640.000;0;24.9,,
48896.000;0;25.8,,
49152.000;0;26.6,,
49408.000;0;27.4,,
49664.000;0;28.2,,
49920.000;0;29.0,,
50176.000;0;29.5,,
50432.000;4;21.2,,
50688.000;3;19.7,,
50944.000;1;19.5,,
51200.000;1;19.3,,
51456.000;1;19.2,,
51712.000;1;19.3,,
51968.000;1;19.0,,
52224.000;2;18.4,,
52480.000;1;18.7,,
52736.000;0;19.2,,
52992.000;0;19.8,,
53248.000;1;20.1,,
53504.000;1;19.8,,
53760.000;0;20.3,,
54016.000;0;20.7,,
54272.000;2;19.7,,
54528.000;1;19.4,,
54784.000;0;19.8,,
55040.000;0;20.3,,
55296.000;0;21.0,,
55552.000;1;21.4,,
55808.000;2;20.7,,
56064.000;2;20.6,,
56320.000;1;20.3,,
56576.000;1;19.7,,
56832.000;1;19.6,,
57088.000;1;19.9,,
57344.000;1;19.8,,
57600.000;1;19.9,,
57856.000;1;20.0,,
58112.000;1;19.8,,
58368.000;0;20.1,,
58624.000;1;20.5,,
58880.000;1;20.8,,
59136.000;2;20.4,,
