Date:;2020-07-06 15:52:10
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;64.000
Scale:;0;True;5.000;-10.500;-9.500;30.500
Scale:;1;True;2.000;-20.150;12.150;28.150
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;8;18.7
64.000;4;19.4
128.000;3;20.1
192.000;7;19.5
256.000;7;19.3
320.000;4;20.1
384.000;6;19.7
448.000;9;18.7
512.000;5;19.4
576.000;10;18.3
640.000;4;19.3
704.000;3;20.0
768.000;8;19.2
832.000;3;20.1
896.000;1;21.3
960.000;1;22.4
1024.000;1;23.5
1088.000;2;24.4
1152.000;9;22.8
1216.000;14;20.5
1280.000;6;20.8
1344.000;12;19.0
1408.000;14;17.2
1472.000;4;18.3
1536.000;2;19.3
1600.000;2;19.9
1664.000;8;19.2
1728.000;9;18.5
1792.000;10;17.6
1856.000;6;17.9
1920.000;5;17.9
1984.000;4;18.3
2048.000;7;17.8
2112.000;4;18.3
2176.000;7;17.9
2240.000;7;17.4
2304.000;4;18.1
2368.000;3;18.7
2432.000;4;19.1
2496.000;6;18.6
2560.000;12;17.0
2624.000;5;17.7
2688.000;3;18.3
2752.000;5;18.5
2816.000;6;18.6
2880.000;10;17.2
2944.000;5;18.0
3008.000;2;19.1
3072.000;1;20.2
3136.000;2;21.1
3200.000;6;20.6
3264.000;15;17.6
3328.000;6;17.9
3392.000;6;17.7
3456.000;11;16.2
3520.000;5;17.0
3584.000;5;17.1
3648.000;7;16.9
3712.000;5;17.0
3776.000;2;18.0
3840.000;3;18.7
3904.000;7;18.2
3968.000;12;16.7
4032.000;6;16.9
4096.000;8;16.6
4160.000;6;16.5
4224.000;4;17.1
4288.000;6;16.7
4352.000;4;17.6
4416.000;7;17.1
4480.000;8;16.8
4544.000;9;16.2
4608.000;4;17.0
4672.000;2;17.9
4736.000;4;18.3
4800.000;4;19.0
