Date:;2020-07-06 15:35:46
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;12.800
Scale:;0;True;5.000;-91.000;71.000;111.000
Scale:;1;True;2.000;-19.250;11.250;27.250
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;84;21.5
12.800;84;21.2
25.600;86;20.4
38.400;86;20.6
51.200;89;20.5
64.000;87;21.5
76.800;86;21.4
89.600;88;21.0
102.400;88;21.8
115.200;89;20.8
128.000;90;20.9
140.800;93;20.0
153.600;96;19.3
166.400;97;19.3
179.200;97;19.1
192.000;99;17.9
204.800;99;18.5
217.600;94;18.4
230.400;98;16.9
243.200;95;18.1
256.000;99;16.4
268.800;94;18.3
281.600;91;18.8
294.400;94;16.1
307.200;96;16.5
320.000;96;16.2
332.800;97;16.2
345.600;93;16.8
358.400;89;17.7
371.200;85;18.0
384.000;80;20.1
396.800;81;18.8
409.600;87;17.9
422.400;87;18.4
435.200;88;18.7
448.000;86;19.5
460.800;88;19.0
473.600;89;18.8
486.400;87;19.3
499.200;89;18.8
512.000;89;19.0
524.800;86;20.4
537.600;83;20.6
550.400;85;20.0
563.200;89;19.3
576.000;91;19.2
588.800;92;19.1
601.600;93;18.5
614.400;94;18.3
627.200;90;19.8
640.000;89;19.6
652.800;89;19.6
665.600;89;19.2
678.400;87;20.4
691.200;85;20.7
704.000;86;20.2
716.800;87;20.4
729.600;87;20.4
742.400;87;20.9
755.200;88;20.3
768.000;87;21.0
780.800;90;19.7
793.600;89;21.2
806.400;90;20.1
819.200;97;18.2
832.000;96;18.8
844.800;99;18.2
857.600;98;18.1
870.400;96;18.4
883.200;97;17.4
896.000;94;18.4
908.800;93;17.7
921.600;97;16.7
934.400;92;18.4
947.200;90;17.9
960.000;89;18.2
972.800;93;16.8
985.600;93;17.1
998.400;91;17.7
1011.200;91;17.5
1024.000;91;17.2
1036.800;91;17.4
1049.600;91;17.2
1062.400;88;18.2
1075.200;84;19.1
1088.000;84;18.6
1100.800;86;18.3
1113.600;88;18.5
1126.400;87;18.8
1139.200;87;19.1
1152.000;87;18.8
1164.800;88;18.8
1177.600;83;20.9
1190.400;85;19.5
1203.200;86;19.7
1216.000;91;18.4
1228.800;94;18.1
1241.600;95;18.3
1254.400;94;18.7
1267.200;93;18.1
1280.000;91;18.6
1292.800;89;19.3
1305.600;89;18.5
1318.400;84;20.7
1331.200;85;19.6
1344.000;81;21.7
1356.800;84;20.4
1369.600;85;21.0
1382.400;84;21.2
1395.200;87;20.5
1408.000;85;21.9
1420.800;87;21.1
1433.600;90;20.5
1446.400;92;19.9
1459.200;95;19.8
1472.000;97;18.5
1484.800;99;18.1
1497.600;97;18.8
1510.400;99;17.3
1523.200;97;18.0
1536.000;100;16.4
1548.800;90;19.5
1561.600;95;16.5
1574.400;97;16.6
1587.200;93;17.8
1600.000;93;17.2
1612.800;91;18.0
1625.600;92;16.9
1638.400;91;17.3
1651.200;92;16.6
1664.000;93;17.0
1676.800;92;17.5
1689.600;89;17.5
1702.400;86;18.5
1715.200;89;17.4
1728.000;86;18.9
1740.800;88;17.5
1753.600;86;18.6
1766.400;88;18.1
1779.200;87;18.9
1792.000;86;18.7
1804.800;88;18.4
1817.600;87;19.0
1830.400;87;19.3
1843.200;86;19.4
1856.000;86;19.7
1868.800;87;19.7
1881.600;92;18.3
1894.400;95;17.7
1907.200;96;17.4
1920.000;93;18.2
1932.800;91;18.8
1945.600;87;19.3
1958.400;82;20.5
1971.200;82;20.3
1984.000;83;20.5
1996.800;83;21.1
2009.600;80;22.2
2022.400;86;20.6
2035.200;84;21.8
2048.000;85;21.6
2060.800;87;21.1
2073.600;88;21.2
2086.400;91;20.7
2099.200;90;21.3
2112.000;91;20.7
2124.800;93;20.3
2137.600;97;18.5
2150.400;95;19.7
2163.200;99;18.5
2176.000;100;17.9
2188.800;101;17.6
2201.600;100;17.9
2214.400;100;16.7
2227.200;102;15.5
2240.000;94;18.1
2252.800;94;16.9
2265.600;95;16.0
2278.400;84;20.1
2291.200;88;17.6
2304.000;90;17.1
2316.800;94;16.3
2329.600;92;17.7
2342.400;89;17.6
2355.200;91;16.9
2368.000;93;16.8
2380.800;91;17.6
2393.600;89;17.4
2406.400;88;18.1
2419.200;85;18.7
2432.000;85;18.3
2444.800;84;19.3
2457.600;85;18.8
2470.400;86;19.1
2483.200;86;19.4
2496.000;87;19.3
2508.800;87;19.4
